,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pickup_date,COUNT de VendorID,,pickup_date,SUM de total_amount,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01,1496,,2015-01-01,50336839,,Year,SUM de total_amount,,,payment_type,COUNT de VendorID,,is_weekend,COUNT de VendorID
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-02,1275,,2015-01-02,42910374,,2015,1530747341,,,1,60547,,0,52246
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-03,1473,,2015-01-03,51982283,,2016,1341899901,,,2,40853,,1,49750
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-04,748,,2015-01-04,15.7,,,,,,3,451,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-05,1242,,2015-01-05,41084450,,,,,,4,145,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-06,1718,,2015-01-06,54920019,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-07,2438,,2015-01-07,75013092,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-08,1432,,2015-01-08,45252385,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-09,1394,,2015-01-09,44241949,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-10,1704,,2015-01-10,58213274,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-11,1220,,2015-01-11,37504811,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-12,1437,,2015-01-12,43189197,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-13,2017,,2015-01-13,62102319,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-14,1793,,2015-01-14,57019631,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-15,2537,,2015-01-15,76210827,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-16,1771,,2015-01-16,53956330,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-17,1761,,2015-01-17,56153892,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-18,2034,,2015-01-18,65538489,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-19,1396,,2015-01-19,41541155,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-20,1785,,2015-01-20,51843457,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-21,1846,,2015-01-21,50014939,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-22,1901,,2015-01-22,48645057,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-23,1786,,2015-01-23,48044506,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-24,2162,,2015-01-24,59178869,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-25,1314,,2015-01-25,36094661,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-26,949,,2015-01-26,26382071,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-27,890,,2015-01-27,30.10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-28,1915,,2015-01-28,51619786,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-29,1366,,2015-01-29,35816987,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-30,2143,,2015-01-30,57527895,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-31,2055,,2015-01-31,57663058,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-01,10603,,2016-01-01,298883785,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-02,35275,,2016-01-02,919525854,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-03,4,,2016-01-03,7.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,16,,2016-01-04,457970,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-29,5100,,2016-01-29,122894953,,,,,,,,,,
